request-method;request-path;response-status;tiempo;;;;
GET;/;302;86,9011;;;;
GET;/;302;4,4962;;;;
GET;/;302;3,4882;;;;
GET;/;302;4,0058;;;;
GET;/;302;2,9245;;;Columna1;
GET;/;302;2,0061;;;;
GET;/;302;2,7426;;;Media;27,26158354
GET;/;302;2,6779;;;Error típico;1,226085287
GET;/;302;2,2779;;;Mediana;21,72185
GET;/;302;2,4624;;;Moda;#N/D
GET;/;302;2,3101;;;Desviación estándar;22,20534897
GET;/;302;2,5275;;;Varianza de la muestra;493,0775229
GET;/;302;3,6336;;;Curtosis;3,651737065
GET;/;302;2,7537;;;Coeficiente de asimetría;1,700709758
GET;/;302;2,1807;;;Rango;139,7936
GET;/;302;3,032;;;Mínimo;2,6906
GET;/;302;2,2613;;;Máximo;142,4842
GET;/;302;1,724;;;Suma;8941,7994
GET;/;302;2,4339;;;Cuenta;328
GET;/;302;2,3449;;;Nivel de confianza(95,0%);2,41201028
GET;/;302;2,5808;;;;
GET;/;302;3,4164;;;;
GET;/;302;1,7538;;;;
GET;/;302;2,2686;;;;
GET;/;302;3,2292;;;;
GET;/;302;1,7593;;;;
GET;/;302;2,2357;;;;
GET;/;302;2,0849;;;;
GET;/;302;2,0758;;;;
GET;/;302;1,3595;;;;
GET;/;302;1,2279;;;;
GET;/;302;2,3371;;;;
GET;/;302;2,7081;;;;
GET;/;302;1,8593;;;;
GET;/;302;2,2134;;;;
GET;/;302;2,2119;;;;
GET;/;302;2,1444;;;;
GET;/;302;1,6027;;;;
GET;/;302;1,8566;;;;
GET;/;302;1,5881;;;;
GET;/;302;1,4697;;;;
GET;/;302;1,2137;;;;
GET;/;302;1,3142;;;;
GET;/;302;1,2688;;;;
GET;/;302;4,0916;;;;
GET;/;302;1,1279;;;;
GET;/;302;1,2563;;;;
GET;/;302;1,0812;;;;
GET;/;302;1,2173;;;;
GET;/;302;1,1843;;;;
GET;/;302;1,3593;;;;
GET;/;302;1,1326;;;;
GET;/;302;1,1103;;;;
GET;/;302;1,2322;;;;
GET;/;302;1,4469;;;;
GET;/;302;1,2886;;;;
GET;/;302;1,6818;;;;
GET;/;302;1,2957;;;;
GET;/;302;2,06;;;;
GET;/;302;2,7232;;;;
GET;/;302;1,6636;;;;
GET;/;302;1,846;;;;
GET;/;302;2,2228;;;;
GET;/;302;2,5167;;;;
GET;/;302;1,9809;;;;
GET;/;302;2,8011;;;;
GET;/;302;1,7016;;;;
GET;/;302;1,9187;;;;
GET;/;302;1,5034;;;;
GET;/;302;1,8322;;;;
GET;/;302;1,5607;;;;
GET;/;302;2,9048;;;;
GET;/;302;2,1284;;;;
GET;/;302;1,5697;;;;
GET;/;302;2,2981;;;;
GET;/;302;1,5286;;;;
GET;/;302;2,6177;;;;
GET;/;302;2,5431;;;;
GET;/;302;1,597;;;;
GET;/anonymous/system/sign-in;200;10,084;;;;
POST;/anonymous/system/sign-in;302;30,903;;;;
GET;/anonymous/system/sign-in;200;4,4013;;;;
POST;/anonymous/system/sign-in;302;7,0966;;;;
GET;/anonymous/system/sign-in;200;3,1101;;;;
POST;/anonymous/system/sign-in;302;9,2793;;;;
GET;/anonymous/system/sign-in;200;3,0453;;;;
POST;/anonymous/system/sign-in;302;7,2239;;;;
GET;/anonymous/system/sign-in;200;3,3931;;;;
POST;/anonymous/system/sign-in;302;8,3632;;;;
GET;/anonymous/system/sign-in;200;2,587;;;;
POST;/anonymous/system/sign-in;302;7,2148;;;;
GET;/anonymous/system/sign-in;200;2,8231;;;;
POST;/anonymous/system/sign-in;302;8,5262;;;;
GET;/anonymous/system/sign-in;200;2,4389;;;;
