key,name,iataCode,operationalScope,city,country,website,email,phoneNumber
# base
airport-01,"Santa Cruz Airport","SCA",DOMESTIC,"Tenerife","España",https://santacruzairport.acme.com,santacruzair@gamil.com,+34999999999
# name - variations
airport-02,"Sevilla","SCB",DOMESTIC,"Tenerife","España",https://santacruzairport.acme.com,santacruzair@gamil.com,+34999999999
airport-03,"S","SCC",DOMESTIC,"Tenerife","España",https://santacruzairport.acme.com,santacruzair@gamil.com,+34999999999
airport-04,"Sa","SCD",DOMESTIC,"Tenerife","España",https://santacruzairport.acme.com,santacruzair@gamil.com,+34999999999
airport-05,"Lorem ipsum dolor sit amet, consectetur adipiscin","SCE",DOMESTIC,"Tenerife","España",https://santacruzairport.acme.com,santacruzair@gamil.com,+34999999999
airport-06,"Lorem ipsum dolor sit amet, consectetur adipiscing","SCF",DOMESTIC,"Tenerife","España",https://santacruzairport.acme.com,santacruzair@gamil.com,+34999999999
airport-07,"' or 'A' = 'A","SCG",DOMESTIC,"Tenerife","España",https://santacruzairport.acme.com,santacruzair@gamil.com,+34999999999
airport-08,"<marquee>Hacked</marquee>","SCH",DOMESTIC,"Tenerife","España",https://santacruzairport.acme.com,santacruzair@gamil.com,+34999999999
airport-09,"<script>alert(‘Hacked!’);</script>","SCI",DOMESTIC,"Tenerife","España",https://santacruzairport.acme.com,santacruzair@gamil.com,+34999999999
airport-10,"洛伦·伊普森","SCJ",DOMESTIC,"Tenerife","España",https://santacruzairport.acme.com,santacruzair@gamil.com,+34999999999
airport-11,"لوريم إيبسوم","SCK",DOMESTIC,"Tenerife","España",https://santacruzairport.acme.com,santacruzair@gamil.com,+34999999999
airport-12,"โลเร็ม อิปซัม","SCL",DOMESTIC,"Tenerife","España",https://santacruzairport.acme.com,santacruzair@gamil.com,+34999999999

# operationalScope - variations
airport-15,"San Cristóbal Domestic","SFF",DOMESTIC,"San Cristóbal","España",https://sancristobaldomestic.acme.com,sancristobaldomestic@acme.com,+34987777777
airport-16,"Gran Canaria Regional","GCR",REGIONAL,"Gran Canaria","España",https://grancanariaregional.acme.com,grancanariaregional@acme.com,+34986666666
airport-17,"La Laguna International","LAX",INTERNATIONAL,"La Laguna","España",https://lagunainternational.acme.com,lagunainternational@acme.com,+34988888888
# city - variations
airport-18,"Example Airport","EXA",DOMESTIC,"Málaga","España",https://example.acme.com,example@acme.com,+34993333333
airport-19,"Example Airport","EXB",DOMESTIC,"L","España",https://example.acme.com,example@acme.com,+34994444444
airport-20,"Example Airport","EXC",DOMESTIC,"Lo","España",https://example.acme.com,example@acme.com,+34995555555
airport-21,"Example Airport","EXD",DOMESTIC,"Lorem ipsum dolor sit amet, consectetur adipiscin","España",https://example.acme.com,example@acme.com,+34996666666
airport-22,"Example Airport","EXE",DOMESTIC,"Lorem ipsum dolor sit amet, consectetur adipiscing","España",https://example.acme.com,example@acme.com,+34997777777

airport-24,"Example Airport","EXG",DOMESTIC,"โลเร็ม อิปซัม","España",https://example.acme.com,example@acme.com,+34999999999
airport-25,"Example Airport","EXH",DOMESTIC,"洛伦·伊普森","España",https://example.acme.com,example@acme.com,+34888888888
airport-26,"Example Airport","EXI",DOMESTIC,"لوريم إيبسوم","España",https://example.acme.com,example@acme.com,+34887777777
airport-27,"Example Airport","EXJ",DOMESTIC,"<marquee>Hacked</marquee>","España",https://example.acme.com,example@acme.com,+34886666666
airport-28,"Example Airport","EXK",DOMESTIC,"<script>alert('Hacked!')</script>","España",https://example.acme.com,example@acme.com,+34885555555
# country - variations
airport-29,"Example Airport","EXN",DOMESTIC,"' or 'A' = 'A","Prueba",http://example.org/,example29@acme.com,+34990000029
airport-30,"Example Airport","EXO",DOMESTIC,"Tenerife","E",http://example.org/a,example30@acme.com,+34990000030
airport-31,"Example Airport","EXP",DOMESTIC,"Tenerife","Es",http://example.org/a/b,example31@acme.com,+34990000031
airport-32,"Example Airport","EXQ",DOMESTIC,"Tenerife","España",http://example.org/a/b?,example32@acme.com,+34990000032
airport-33,"Example Airport","EXR",DOMESTIC,"Tenerife","Estados Unidos de América",http://example.org/a/b?a&b,example33@acme.com,+34990000033
airport-34,"Example Airport","EXS",DOMESTIC,"Tenerife","Reino Unido",https://example.acme.com,example34@acme.com,+34990000034
airport-35,"Example Airport","EXT",DOMESTIC,"Tenerife","Alemania",https://example.acme.com,example35@acme.com,+34990000035
airport-36,"Example Airport","EXU",DOMESTIC,"Tenerife","Suiza",https://example.acme.com,example36@acme.com,+34990000036
airport-37,"Example Airport","EXV",DOMESTIC,"Tenerife","Lorem ipsum dolor sit amet, consectetur adipiscin",https://example.acme.com,example37@acme.com,+34990000037
airport-38,"Example Airport","EXW",DOMESTIC,"Tenerife","Lorem ipsum dolor sit amet, consectetur adipiscing",https://example.acme.com,example38@acme.com,+34990000038

# phoneNumber-email-website variations
airport-40,"Example Airport","EXY",DOMESTIC,"Tenerife","España",http://lorem.com/ipsum,example40@acme.com,+34990000040
airport-41,"Example Airport","EXZ",DOMESTIC,"Tenerife","España","http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/",example41@acme.com,+34990000041
airport-43,"Example Airport","DEF",DOMESTIC,"Tenerife","España",http://a.b,a@b.e,634428478836
airport-44,"Example Airport","GHI",DOMESTIC,"Tenerife","España","http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X",acme@lorem-ipsum.org,+349448114
airport-45,"Example Airport","JKL",DOMESTIC,"Tenerife","España",http://www.lorem-ipsum.org,a@b.es,692555867
airport-46,"Example Airport","MNO",DOMESTIC,"Tenerife","España",https://www.lorem-ipsum.org,a@b.esx,+806493
airport-47,"Example Airport","PQR",DOMESTIC,"Tenerife","España",http://www.lorem-ipsum.org/dolor/sit.html,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.doloris.edu,91474220
airport-48,"Example Airport","STU",DOMESTIC,"Tenerife","España",http://www.lorem-ipsum.org/dolor/sit.html#dolor,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolor.es.org,+91511646340
airport-49,"Example Airport","VWX",DOMESTIC,"Tenerife","España",http://example.org?a=1&b=2,,+72926097
airport-50,"Example Airport","YZA",DOMESTIC,"Tenerife","España",http://example.org?a,a@b.e,+972750999284
airport-51,"Example Airport","BCD",DOMESTIC,"Tenerife","España",http://example.org?a&b,example51@acme.com,6279243516
airport-52,"Example Airport","EFG",DOMESTIC,"Tenerife","España",https://example.acme.com,acme@lorem-ipsum.org,+34990000052
airport-53,"Example Airport","HIJ",DOMESTIC,"Tenerife","España",http://example.org?,,
airport-54,"Example Airport","KLM",DOMESTIC,"Tenerife","España",https://example.acme.com,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolor.es.org,+34990000054

airport-56,"Example Airport","NOO",DOMESTIC,"Tenerife","España",http://example.org/,,+34990000058
